time,	T,	w,	th
1.585,	-3.8147,	66.6733,	72.4007
1.586,	3.8147,	66.6656,	72.4674
1.587,	0,	66.6656,	72.534
1.588,	-3.8147,	66.6733,	72.6007
1.589,	3.8147,	66.6656,	72.6674
1.59,	0,	66.6656,	72.734
1.591,	0,	66.6656,	72.8007
1.592,	-3.8147,	66.6733,	72.8674
1.593,	3.8147,	66.6656,	72.934
1.594,	0,	66.6656,	73.0007
1.595,	-3.8147,	66.6733,	73.0674
1.596,	3.8147,	66.6656,	73.134
1.597,	0,	66.6656,	73.2007
1.598,	0,	66.6656,	73.2674
1.599,	-3.8147,	66.6733,	73.3341
1.6,	3.8147,	66.6656,	73.4007
1.601,	0,	66.6656,	73.4674
1.602,	0,	66.6656,	73.534
1.603,	-3.8147,	66.6733,	73.6007
1.604,	3.8147,	66.6656,	73.6674
1.605,	0,	66.6656,	73.7341
1.606,	-3.8147,	66.6733,	73.8007
1.607,	3.8147,	66.6656,	73.8674
1.608,	0,	66.6656,	73.9341
1.609,	0,	66.6656,	74.0007
1.61,	-3.8147,	66.6733,	74.0674
1.611,	3.8147,	66.6656,	74.1341
1.612,	0,	66.6656,	74.2007
1.613,	-3.8147,	66.6733,	74.2674
1.614,	3.8147,	66.6656,	74.3341
1.615,	0,	66.6656,	74.4007
1.616,	0,	66.6656,	74.4674
1.617,	-3.8147,	66.6733,	74.5341
1.618,	3.8147,	66.6656,	74.6007
1.619,	0,	66.6656,	74.6674
1.62,	-3.8147,	66.6733,	74.7341
1.621,	3.8147,	66.6656,	74.8007
1.622,	0,	66.6656,	74.8674
1.623,	0,	66.6656,	74.9341
1.624,	-3.8147,	66.6733,	75.0007
1.625,	3.8147,	66.6656,	75.0674
1.626,	0,	66.6656,	75.1341
1.627,	0,	66.6656,	75.2007
1.628,	-3.8147,	66.6733,	75.2674
1.629,	3.8147,	66.6656,	75.3341
1.63,	0,	66.6656,	75.4007
1.631,	-3.8147,	66.6733,	75.4674
1.632,	3.8147,	66.6656,	75.5341
1.633,	0,	66.6656,	75.6008
1.634,	0,	66.6656,	75.6674
1.635,	-3.8147,	66.6733,	75.7341
1.636,	3.8147,	66.6656,	75.8008
1.637,	0,	66.6656,	75.8674
1.638,	-3.8147,	66.6733,	75.9341
1.639,	3.8147,	66.6656,	76.0008
1.64,	0,	66.6656,	76.0674
1.641,	0,	66.6656,	76.1341
1.642,	-3.8147,	66.6733,	76.2008
1.643,	3.8147,	66.6656,	76.2674
1.644,	0,	66.6656,	76.3341
1.645,	-3.8147,	66.6733,	76.4008
1.646,	3.8147,	66.6656,	76.4674
1.647,	0,	66.6656,	76.5341
1.648,	0,	66.6656,	76.6008
1.649,	-3.8147,	66.6733,	76.6674
1.65,	3.8147,	66.6656,	76.7341
1.651,	0,	66.6656,	76.8008
1.652,	-3.8147,	66.6733,	76.8674
1.653,	3.8147,	66.6656,	76.9341
1.654,	0,	66.6656,	77.0008
1.655,	0,	66.6656,	77.0674
1.656,	-3.8147,	66.6733,	77.1341
1.657,	3.8147,	66.6656,	77.2008
1.658,	0,	66.6656,	77.2674
1.659,	-3.8147,	66.6733,	77.3341
1.66,	3.8147,	66.6656,	77.4008
1.661,	0,	66.6656,	77.4675
1.662,	0,	66.6656,	77.5341
1.663,	-3.8147,	66.6733,	77.6008
1.664,	3.8147,	66.6656,	77.6675
1.665,	0,	66.6656,	77.7341
1.666,	0,	66.6656,	77.8008
1.667,	-3.8147,	66.6733,	77.8675
1.668,	3.8147,	66.6656,	77.9341
1.669,	0,	66.6656,	78.0008
1.67,	-3.8147,	66.6733,	78.0675
1.671,	3.8147,	66.6656,	78.1341
1.672,	0,	66.6656,	78.2008
1.673,	0,	66.6656,	78.2675
1.674,	-3.8147,	66.6733,	78.3341
1.675,	3.8147,	66.6656,	78.4008
1.676,	0,	66.6656,	78.4675
1.677,	-3.8147,	66.6733,	78.5341
1.678,	3.8147,	66.6656,	78.6008
1.679,	0,	66.6656,	78.6675
1.68,	0,	66.6656,	78.7341
1.681,	-3.8147,	66.6733,	78.8008
1.682,	3.8147,	66.6656,	78.8675
1.683,	0,	66.6656,	78.9341
1.684,	-3.8147,	66.6733,	79.0008
1.685,	3.8147,	66.6656,	79.0675
1.686,	0,	66.6656,	79.1341
1.687,	0,	66.6656,	79.2008
1.688,	-3.8147,	66.6733,	79.2675
1.689,	3.8147,	66.6656,	79.3342
1.69,	0,	66.6656,	79.4008
1.691,	0,	66.6656,	79.4675
1.692,	-3.8147,	66.6733,	79.5342
1.693,	3.8147,	66.6656,	79.6008
1.694,	0,	66.6656,	79.6675
1.695,	-3.8147,	66.6733,	79.7342
1.696,	3.8147,	66.6656,	79.8008
1.697,	0,	66.6656,	79.8675
1.698,	0,	66.6656,	79.9342
1.699,	-3.8147,	66.6733,	80.0008
1.7,	3.8147,	66.6656,	80.0675
1.701,	0,	66.6656,	80.1342
1.702,	-3.8147,	66.6733,	80.2008
1.703,	3.8147,	66.6656,	80.2675
1.704,	0,	66.6656,	80.3342
1.705,	0,	66.6656,	80.4008
1.706,	-3.8147,	66.6733,	80.4675
1.707,	3.8147,	66.6656,	80.5342
1.708,	0,	66.6656,	80.6008
1.709,	-3.8147,	66.6733,	80.6675
1.71,	3.8147,	66.6656,	80.7342
1.711,	0,	66.6656,	80.8008
1.712,	0,	66.6656,	80.8675
1.713,	-3.8147,	66.6733,	80.9342
1.714,	3.8147,	66.6656,	81.0008
1.715,	0,	66.6656,	81.0675
1.716,	-3.8147,	66.6733,	81.1342
1.717,	3.8147,	66.6656,	81.2009
1.718,	0,	66.6656,	81.2675
1.719,	0,	66.6656,	81.3342
1.72,	-3.8147,	66.6733,	81.4009
1.721,	3.8147,	66.6656,	81.4675
1.722,	0,	66.6656,	81.5342
1.723,	-3.8147,	66.6733,	81.6009
1.724,	3.8147,	66.6656,	81.6675
1.725,	0,	66.6656,	81.7342
1.726,	0,	66.6656,	81.8009
1.727,	-3.8147,	66.6733,	81.8675
1.728,	3.8147,	66.6656,	81.9342
1.729,	0,	66.6656,	82.0009
1.73,	0,	66.6656,	82.0675
1.731,	-3.8147,	66.6733,	82.1342
1.732,	3.8147,	66.6656,	82.2009
1.733,	0,	66.6656,	82.2675
1.734,	-3.8147,	66.6733,	82.3342
1.735,	3.8147,	66.6656,	82.4009
1.736,	0,	66.6656,	82.4675
1.737,	0,	66.6656,	82.5342
1.738,	-3.8147,	66.6733,	82.6009
1.739,	3.8147,	66.6656,	82.6675
1.74,	0,	66.6656,	82.7342
1.741,	-3.8147,	66.6733,	82.8009
1.742,	3.8147,	66.6656,	82.8675
1.743,	0,	66.6656,	82.9342
1.744,	0,	66.6656,	83.0009
1.745,	-3.8147,	66.6733,	83.0676
1.746,	3.8147,	66.6656,	83.1342
1.747,	0,	66.6656,	83.2009
1.748,	-3.8147,	66.6733,	83.2676
1.749,	3.8147,	66.6656,	83.3342
1.75,	0,	66.6656,	83.4009
1.751,	0,	66.6656,	83.4676
1.752,	-3.8147,	66.6733,	83.5342
1.753,	3.8147,	66.6656,	83.6009
1.754,	0,	66.6656,	83.6676
1.755,	0,	66.6656,	83.7342
1.756,	-3.8147,	66.6733,	83.8009
1.757,	3.8147,	66.6656,	83.8676
1.758,	0,	66.6656,	83.9342
1.759,	-3.8147,	66.6733,	84.0009
1.76,	3.8147,	66.6656,	84.0676
1.761,	0,	66.6656,	84.1342
1.762,	0,	66.6656,	84.2009
1.763,	-3.8147,	66.6733,	84.2676
1.764,	3.8147,	66.6656,	84.3342
1.765,	0,	66.6656,	84.4009
1.766,	-3.8147,	66.6733,	84.4676
1.767,	3.8147,	66.6656,	84.5342
1.768,	0,	66.6656,	84.6009
1.769,	0,	66.6656,	84.6676
1.77,	-3.8147,	66.6733,	84.7342
1.771,	3.8147,	66.6656,	84.8009
1.772,	0,	66.6656,	84.8676
1.773,	-3.8147,	66.6733,	84.9342
1.774,	3.8147,	66.6656,	85.0009
1.775,	0,	66.6656,	85.0676
1.776,	0,	66.6656,	85.1342
1.777,	-3.8147,	66.6733,	85.2009
1.778,	3.8147,	66.6656,	85.2676
1.779,	0,	66.6656,	85.3343
1.78,	-3.8147,	66.6733,	85.4009
1.781,	3.8147,	66.6656,	85.4676
1.782,	0,	66.6656,	85.5343
1.783,	0,	66.6656,	85.6009
1.784,	-3.8147,	66.6733,	85.6676
1.785,	3.8147,	66.6656,	85.7343
1.786,	0,	66.6656,	85.8009
1.787,	-3.8147,	66.6733,	85.8676
1.788,	3.8147,	66.6656,	85.9343
1.789,	0,	66.6656,	86.0009
1.79,	0,	66.6656,	86.0676
1.791,	-3.8147,	66.6733,	86.1343
1.792,	3.8147,	66.6656,	86.2009
1.793,	0,	66.6656,	86.2676
1.794,	0,	66.6656,	86.3343
1.795,	-3.8147,	66.6733,	86.4009
1.796,	3.8147,	66.6656,	86.4676
1.797,	0,	66.6656,	86.5343
1.798,	-3.8147,	66.6733,	86.6009
1.799,	3.8147,	66.6656,	86.6676
1.8,	0,	66.6656,	86.7343
1.801,	0,	66.6656,	86.8009
1.802,	-3.8147,	66.6733,	86.8676
1.803,	3.8147,	66.6656,	86.9343
1.804,	0,	66.6656,	87.0009
1.805,	-3.8147,	66.6733,	87.0676
1.806,	3.8147,	66.6656,	87.1343
1.807,	0,	66.6656,	87.201
1.808,	0,	66.6656,	87.2676
1.809,	-3.8147,	66.6733,	87.3343
1.81,	3.8147,	66.6656,	87.401
1.811,	0,	66.6656,	87.4676
1.812,	-3.8147,	66.6733,	87.5343
1.813,	3.8147,	66.6656,	87.601
